code,multi_1,multi_2,multi_3,multi_4
'01316','1','1.1','1.1.1',' '
'01320','1','1.1','1.1.1',' '
'01321','1','1.1','1.1.1',' '
'01322','1','1.1','1.1.1',' '
'01323','1','1.1','1.1.1',' '
'01324','1','1.1','1.1.1',' '
'01325','1','1.1','1.1.1',' '
'01326','1','1.1','1.1.1',' '
'01330','1','1.1','1.1.1',' '
'01331','1','1.1','1.1.1',' '
'01332','1','1.1','1.1.1',' '
'01333','1','1.1','1.1.1',' '
'01334','1','1.1','1.1.1',' '
'01335','1','1.1','1.1.1',' '
'01336','1','1.1','1.1.1',' '
'01340','1','1.1','1.1.1',' '
'01341','1','1.1','1.1.1',' '
'01342','1','1.1','1.1.1',' '
'01343','1','1.1','1.1.1',' '
'01344','1','1.1','1.1.1',' '
'01345','1','1.1','1.1.1',' '
'01346','1','1.1','1.1.1',' '
'01350','1','1.1','1.1.1',' '
'01351','1','1.1','1.1.1',' '
'01352','1','1.1','1.1.1',' '
'01353','1','1.1','1.1.1',' '
'01354','1','1.1','1.1.1',' '
'01355','1','1.1','1.1.1',' '
'01356','1','1.1','1.1.1',' '
'01360','1','1.1','1.1.1',' '
'01361','1','1.1','1.1.1',' '
'01362','1','1.1','1.1.1',' '
'01363','1','1.1','1.1.1',' '
'01364','1','1.1','1.1.1',' '
'01365','1','1.1','1.1.1',' '
'01366','1','1.1','1.1.1',' '
'01380','1','1.1','1.1.1',' '
'01381','1','1.1','1.1.1',' '
'01382','1','1.1','1.1.1',' '
'01383','1','1.1','1.1.1',' '
'01384','1','1.1','1.1.1',' '
'01385','1','1.1','1.1.1',' '
'01386','1','1.1','1.1.1',' '
'01390','1','1.1','1.1.1',' '
'01391','1','1.1','1.1.1',' '
'01392','1','1.1','1.1.1',' '
'01393','1','1.1','1.1.1',' '
'01394','1','1.1','1.1.1',' '
'01395','1','1.1','1.1.1',' '
'01396','1','1.1','1.1.1',' '
'01400','1','1.1','1.1.1',' '
'01401','1','1.1','1.1.1',' '
'01402','1','1.1','1.1.1',' '
'01403','1','1.1','1.1.1',' '
'01404','1','1.1','1.1.1',' '
'01405','1','1.1','1.1.1',' '
'01406','1','1.1','1.1.1',' '
'01480','1','1.1','1.1.1',' '
'01481','1','1.1','1.1.1',' '
'01482','1','1.1','1.1.1',' '
'01483','1','1.1','1.1.1',' '
'01484','1','1.1','1.1.1',' '
'01485','1','1.1','1.1.1',' '
'01486','1','1.1','1.1.1',' '
'01500','1','1.1','1.1.1',' '
'01501','1','1.1','1.1.1',' '
'01502','1','1.1','1.1.1',' '
'01503','1','1.1','1.1.1',' '
'01504','1','1.1','1.1.1',' '
'01505','1','1.1','1.1.1',' '
'01506','1','1.1','1.1.1',' '
'01510','1','1.1','1.1.1',' '
'01511','1','1.1','1.1.1',' '
'01512','1','1.1','1.1.1',' '
'01513','1','1.1','1.1.1',' '
'01514','1','1.1','1.1.1',' '
'01515','1','1.1','1.1.1',' '
'01516','1','1.1','1.1.1',' '
'01520','1','1.1','1.1.1',' '
'01521','1','1.1','1.1.1',' '
'01522','1','1.1','1.1.1',' '
'01523','1','1.1','1.1.1',' '
'01524','1','1.1','1.1.1',' '
'01525','1','1.1','1.1.1',' '
'01526','1','1.1','1.1.1',' '
'01550','1','1.1','1.1.1',' '
'01551','1','1.1','1.1.1',' '
'01552','1','1.1','1.1.1',' '
'01553','1','1.1','1.1.1',' '
'01554','1','1.1','1.1.1',' '
'01555','1','1.1','1.1.1',' '
'01556','1','1.1','1.1.1',' '
'01560','1','1.1','1.1.1',' '
'01561','1','1.1','1.1.1',' '
'01562','1','1.1','1.1.1',' '
'01563','1','1.1','1.1.1',' '
'01564','1','1.1','1.1.1',' '
'01565','1','1.1','1.1.1',' '
'01566','1','1.1','1.1.1',' '
'01570','1','1.1','1.1.1',' '
'01571','1','1.1','1.1.1',' '
'01572','1','1.1','1.1.1',' '
'01573','1','1.1','1.1.1',' '
'01574','1','1.1','1.1.1',' '
'01575','1','1.1','1.1.1',' '
'01576','1','1.1','1.1.1',' '
'01580','1','1.1','1.1.1',' '
'01581','1','1.1','1.1.1',' '
'01582','1','1.1','1.1.1',' '
'01583','1','1.1','1.1.1',' '
'01584','1','1.1','1.1.1',' '
'01585','1','1.1','1.1.1',' '
'01586','1','1.1','1.1.1',' '
'01590','1','1.1','1.1.1',' '
'01591','1','1.1','1.1.1',' '
'01592','1','1.1','1.1.1',' '
'01593','1','1.1','1.1.1',' '
'01594','1','1.1','1.1.1',' '
'01595','1','1.1','1.1.1',' '
'01596','1','1.1','1.1.1',' '
'01600','1','1.1','1.1.1',' '
'01601','1','1.1','1.1.1',' '
'01602','1','1.1','1.1.1',' '
'01603','1','1.1','1.1.1',' '
'01604','1','1.1','1.1.1',' '
'01605','1','1.1','1.1.1',' '
'01606','1','1.1','1.1.1',' '
'01610','1','1.1','1.1.1',' '
'01611','1','1.1','1.1.1',' '
'01612','1','1.1','1.1.1',' '
'01613','1','1.1','1.1.1',' '
'01614','1','1.1','1.1.1',' '
'01615','1','1.1','1.1.1',' '
'01616','1','1.1','1.1.1',' '
'01620','1','1.1','1.1.1',' '
'01621','1','1.1','1.1.1',' '
'01622','1','1.1','1.1.1',' '
'01623','1','1.1','1.1.1',' '
'01624','1','1.1','1.1.1',' '
'01625','1','1.1','1.1.1',' '
'01626','1','1.1','1.1.1',' '
'01630','1','1.1','1.1.1',' '
'01631','1','1.1','1.1.1',' '
'01632','1','1.1','1.1.1',' '
'01633','1','1.1','1.1.1',' '
'01634','1','1.1','1.1.1',' '
'01635','1','1.1','1.1.1',' '
'01636','1','1.1','1.1.1',' '
'01640','1','1.1','1.1.1',' '
